user_id,product_identifier,frequency_type,inception_policy_id,adjustment_policy_id,change_number,transaction_type,effective_start_date,effective_end_date,ftp_start_date,ftp_valid_until,flex_policy_earned_hours,transaction_gwp,policy_total_gwp
9515,GB_delivery_flex_scooter,flex,199652,199652,0,Flex Policy,06/12/2017,06/12/2017,,,2,1.34,1.34
15992,GB_delivery_flex_scooter,flex,201146,201146,0,Flex Policy,08/12/2017,08/12/2017,,,12,4.46,4.46
9515,GB_delivery_flex_scooter,flex,201360,201360,0,Flex Policy,08/12/2017,08/12/2017,,,5,3.35,3.35
14690,GB_delivery_flex_scooter,flex,203754,203754,0,Flex Policy,11/12/2017,11/12/2017,,,5,2.72,2.72
14690,GB_delivery_flex_scooter,flex,204506,204506,0,Flex Policy,12/12/2017,12/12/2017,,,6,2.72,2.72
15992,GB_delivery_flex_scooter,flex,204883,204883,0,Flex Policy,13/12/2017,13/12/2017,,,12,4.46,4.46
14690,GB_delivery_flex_scooter,flex,205020,205020,0,Flex Policy,13/12/2017,13/12/2017,,,3,1.74,1.74
15668,GB_delivery_flex_scooter,flex,205381,205381,0,Flex Policy,13/12/2017,13/12/2017,,,5,2.9,2.9
15992,GB_delivery_flex_scooter,flex,205600,205600,0,Flex Policy,14/12/2017,14/12/2017,,,12,4.46,4.46
11447,GB_delivery_flex_scooter,flex,207591,207591,0,Flex Policy,16/12/2017,16/12/2017,,,12,4.46,4.46
14690,GB_delivery_flex_scooter,flex,208523,208523,0,Flex Policy,17/12/2017,17/12/2017,,,8,3.71,3.71
14690,GB_delivery_flex_scooter,flex,209237,209237,0,Flex Policy,18/12/2017,18/12/2017,,,3,1.74,1.74
15992,GB_delivery_flex_scooter,flex,209868,209868,0,Flex Policy,19/12/2017,19/12/2017,,,12,4.46,4.46
15589,GB_delivery_flex_car,flex,209920,209920,0,Flex Policy,18/12/2017,18/12/2017,,,8.52,10.04,10.04
15668,GB_delivery_flex_scooter,flex,211719,211719,0,Flex Policy,21/12/2017,21/12/2017,,,9.91,4.46,4.46
11149,GB_delivery_flex_scooter,flex,213302,213302,0,Flex Policy,23/12/2017,23/12/2017,,,10.97,4.46,4.46
15668,GB_delivery_flex_scooter,flex,214266,214266,0,Flex Policy,26/12/2017,26/12/2017,,,13.51,3.48,4.46
15668,GB_delivery_flex_scooter,flex,214266,214266,1,Flex Policy,26/12/2017,26/12/2017,,,13.51,0.98,4.46
15668,GB_delivery_flex_scooter,flex,215045,215045,0,Flex Policy,27/12/2017,27/12/2017,,,6.29,4.06,4.06
11149,GB_delivery_flex_scooter,flex,128595,128595,0,Flex Policy,03/09/2017,03/09/2017,,,10,4.46,4.46
11447,GB_delivery_flex_scooter,flex,132311,132311,0,Flex Policy,09/09/2017,09/09/2017,,,3,2.01,2.01
11149,GB_delivery_flex_scooter,flex,136907,136907,0,Flex Policy,17/09/2017,17/09/2017,,,5.38,4.02,4.02
11149,GB_delivery_flex_scooter,flex,137541,137541,0,Flex Policy,18/09/2017,18/09/2017,,,5.62,4.02,4.02
11447,GB_delivery_flex_scooter,flex,140613,140613,0,Flex Policy,23/09/2017,23/09/2017,,,3,2.01,2.01
9515,GB_delivery_flex_scooter,flex,144032,144032,0,Flex Policy,29/09/2017,29/09/2017,,,5,3.35,3.35
7863,GB_delivery_flex_scooter,flex,146241,146241,0,Flex Policy,03/10/2017,03/10/2017,,,2,1.34,1.34
9515,GB_delivery_flex_scooter,flex,147497,147497,0,Flex Policy,05/10/2017,05/10/2017,,,4,2.68,2.68
1991,GB_delivery_flex_scooter,flex,152656,152656,0,Flex Policy,14/10/2017,14/10/2017,,,2,1.34,1.34
9886,GB_delivery_flex_scooter,flex,159392,159392,0,Flex Policy,25/10/2017,25/10/2017,,,4,2.32,2.32
11603,GB_delivery_flex_scooter,flex,159509,159509,0,Flex Policy,25/10/2017,25/10/2017,,,4,2.68,2.68
9886,GB_delivery_flex_scooter,flex,160066,160066,0,Flex Policy,26/10/2017,26/10/2017,,,4,2.32,2.32
4949,GB_delivery_flex_scooter,flex,160370,160370,0,Flex Policy,27/10/2017,27/10/2017,,,1,0.67,0.67
4949,GB_delivery_flex_scooter,flex,160869,160869,0,Flex Policy,27/10/2017,27/10/2017,,,5,3.35,3.35
9515,GB_delivery_flex_scooter,flex,162630,162630,0,Flex Policy,30/10/2017,30/10/2017,,,4,2.68,2.68
6269,GB_delivery_flex_scooter,flex,163155,163155,0,Flex Policy,31/10/2017,31/10/2017,,,9,4.46,4.46
15992,GB_delivery_flex_scooter,flex,164858,164858,0,Flex Policy,02/11/2017,02/11/2017,,,9,4.46,4.46
7863,GB_delivery_flex_scooter,flex,165153,165153,0,Flex Policy,02/11/2017,02/11/2017,,,2,1.34,1.34
14690,GB_delivery_flex_scooter,flex,165224,165224,0,Flex Policy,02/11/2017,02/11/2017,,,5,2.72,2.72
3908,GB_delivery_flex_scooter,flex,166355,166355,0,Flex Policy,03/11/2017,03/11/2017,,,2,1.34,1.34
15668,GB_delivery_flex_scooter,flex,167162,167162,0,Flex Policy,04/11/2017,04/11/2017,,,2,1.16,1.16
14690,GB_delivery_flex_scooter,flex,167230,167230,0,Flex Policy,04/11/2017,04/11/2017,,,4,2.32,2.32
14690,GB_delivery_flex_scooter,flex,168553,168553,0,Flex Policy,06/11/2017,06/11/2017,,,5,2.9,2.9
4949,GB_delivery_flex_scooter,flex,168927,168927,0,Flex Policy,07/11/2017,07/11/2017,,,4,2.68,2.68
14690,GB_delivery_flex_scooter,flex,169065,169065,0,Flex Policy,07/11/2017,07/11/2017,,,3,1.74,1.74
14690,GB_delivery_flex_scooter,flex,169259,169259,0,Flex Policy,07/11/2017,07/11/2017,,,5,2.72,2.72
11447,GB_delivery_flex_scooter,flex,169393,169393,0,Flex Policy,07/11/2017,07/11/2017,,,5,3.35,3.35
14690,GB_delivery_flex_scooter,flex,169758,169758,0,Flex Policy,08/11/2017,08/11/2017,,,3,1.74,1.74
1991,GB_delivery_flex_scooter,flex,170495,170495,0,Flex Policy,09/11/2017,09/11/2017,,,2,1.34,1.34
15992,GB_delivery_flex_scooter,flex,171437,171437,0,Flex Policy,10/11/2017,10/11/2017,,,8,4.46,4.46
11603,GB_delivery_flex_scooter,flex,171688,171688,0,Flex Policy,10/11/2017,10/11/2017,,,5,3.35,3.35
3908,GB_delivery_flex_scooter,flex,171947,171947,0,Flex Policy,10/11/2017,10/11/2017,,,5,3.35,3.35
15668,GB_delivery_flex_scooter,flex,173017,173017,0,Flex Policy,11/11/2017,11/11/2017,,,2,1.16,1.16
11149,GB_delivery_flex_scooter,flex,173687,173687,0,Flex Policy,12/11/2017,12/11/2017,,,10,4.46,4.46
15992,GB_delivery_flex_scooter,flex,174588,174588,0,Flex Policy,13/11/2017,13/11/2017,,,10,4.46,4.46
7863,GB_delivery_flex_scooter,flex,175244,175244,0,Flex Policy,13/11/2017,13/11/2017,,,1,0.67,0.67
6269,GB_delivery_flex_scooter,flex,176961,176961,0,Flex Policy,15/11/2017,15/11/2017,,,4,2.68,2.68
11603,GB_delivery_flex_scooter,flex,177298,177298,0,Flex Policy,15/11/2017,15/11/2017,,,1,0.67,0.67
15992,GB_delivery_flex_scooter,flex,177530,177530,0,Flex Policy,16/11/2017,16/11/2017,,,5,3.35,3.35
14872,GB_delivery_flex_scooter,flex,177544,177544,0,Flex Policy,16/11/2017,16/11/2017,,,5,3.35,3.35
15992,GB_delivery_flex_scooter,flex,177836,177836,0,Flex Policy,16/11/2017,16/11/2017,,,4.84,1.12,1.12
15668,GB_delivery_flex_scooter,flex,178070,178070,0,Flex Policy,16/11/2017,16/11/2017,,,2,1.16,1.16
15992,GB_delivery_flex_scooter,flex,178707,178707,0,Flex Policy,17/11/2017,17/11/2017,,,10,4.46,4.46
11447,GB_delivery_flex_scooter,flex,179288,179288,0,Flex Policy,17/11/2017,17/11/2017,,,4,2.68,2.68
3908,GB_delivery_flex_scooter,flex,179395,179395,0,Flex Policy,17/11/2017,17/11/2017,,,4,2.68,2.68
15668,GB_delivery_flex_scooter,flex,179408,179408,0,Flex Policy,17/11/2017,17/11/2017,,,2,1.16,1.16
3908,GB_delivery_flex_scooter,flex,180860,180860,0,Flex Policy,18/11/2017,18/11/2017,,,4,2.68,2.68
15668,GB_delivery_flex_scooter,flex,181991,181991,0,Flex Policy,19/11/2017,19/11/2017,,,2,1.16,1.16
